name,in_sdl,funclike,header,usable,selected,stage,cause,also_contains,depends_on,unexpected,body,root_cause
SDL_HINT_ANDROID_ALLOW_RECREATE_ACTIVITY,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_ANDROID_ALLOW_RECREATE_ACTIVITY""",-
SDL_HINT_ANDROID_BLOCK_ON_PAUSE,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_ANDROID_BLOCK_ON_PAUSE""",-
SDL_HINT_ANDROID_LOW_LATENCY_AUDIO,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_ANDROID_LOW_LATENCY_AUDIO""",-
SDL_HINT_ANDROID_TRAP_BACK_BUTTON,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_ANDROID_TRAP_BACK_BUTTON""",-
SDL_HINT_APPLE_TV_CONTROLLER_UI_EVENTS,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_APPLE_TV_CONTROLLER_UI_EVENTS""",-
SDL_HINT_APPLE_TV_REMOTE_ALLOW_ROTATION,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_APPLE_TV_REMOTE_ALLOW_ROTATION""",-
SDL_HINT_APP_ID,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_APP_ID""",-
SDL_HINT_APP_NAME,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_APP_NAME""",-
SDL_HINT_ASSERT,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_ASSERT""",-
SDL_HINT_AUDIO_ALSA_DEFAULT_DEVICE,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_ALSA_DEFAULT_DEVICE""",-
SDL_HINT_AUDIO_ALSA_DEFAULT_PLAYBACK_DEVICE,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_ALSA_DEFAULT_PLAYBACK_DEVICE""",-
SDL_HINT_AUDIO_ALSA_DEFAULT_RECORDING_DEVICE,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_ALSA_DEFAULT_RECORDING_DEVICE""",-
SDL_HINT_AUDIO_CATEGORY,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_CATEGORY""",-
SDL_HINT_AUDIO_CHANNELS,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_CHANNELS""",-
SDL_HINT_AUDIO_DEVICE_APP_ICON_NAME,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_DEVICE_APP_ICON_NAME""",-
SDL_HINT_AUDIO_DEVICE_RAW_STREAM,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_DEVICE_RAW_STREAM""",-
SDL_HINT_AUDIO_DEVICE_SAMPLE_FRAMES,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_DEVICE_SAMPLE_FRAMES""",-
SDL_HINT_AUDIO_DEVICE_STREAM_NAME,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_DEVICE_STREAM_NAME""",-
SDL_HINT_AUDIO_DEVICE_STREAM_ROLE,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_DEVICE_STREAM_ROLE""",-
SDL_HINT_AUDIO_DISK_INPUT_FILE,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_DISK_INPUT_FILE""",-
SDL_HINT_AUDIO_DISK_OUTPUT_FILE,yes,no,SDL_hints.h,yes,yes,bound,-,,,,"""SDL_AUDIO_DISK_OUTPUT_FILE""",-
